stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length,prompt_v2,gpt3_v2,prompt_v3,gpt3_v3,gpt3_v3.1,prompt_v4,gpt3_v4,sent_v2,sent_v3,sent_v3.1,sent_v4,reviewIdF,dalle_prompt,githubUrls/0
,,,This place is amazing! Stopped by on my travels from Tulsa to Stillwater my waitress kept my glass full and brought me a Togo cup before I even asked! You just don’t get that great of service anymore. Totally blew me away how awesome she was at her job!! Oh and the food was extremely delicious! I travel all over us and this restaurant is near the top of my list for Mexican food!!,Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURxNmFib0JBEAE,Mexican restaurant,https://lh5.googleusercontent.com/p/AF1QipO8Fa_4TUMZEsMwW7qrvrkoQahl0LcHRVIvLZmp=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURxNmFib0JBEAE!2m1!1s0x0:0x77679883bad92b30!3m1!1s2@1:CIHM0ogKEICAgIDq6aboBA%7CCgwImeSzhwYQ6OPMkQE%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Super friendly place! Hot sauces available tableside. I had an allergy to one of the fillers and the manager came by to ensure I was doing ok and making substitutions for me. Great service and great food!! ,A Google Maps review about a Mexican restaurant. ###," Very good and authentic Mexican food. I had black beans, cheese enchiladas, flour and corn tortillas, and black beans and rice. My only minor complaint is the plate itself. The plate that it came in was extremely hot, literally. It was bad enough I had to wait a few minutes for it to cool before I could put it down. Either way... great service, great atmosphere, and great food. "," I got the chicken quesadilla and it was delicious, service was great, and it was quick! Clean with a friendly staff! ",A Google Maps review about a Mexican restaurant. ###, Great family place! They have really good memories!!! ,positive,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSURxNmFib0JBEAEF,"A photo of delicious food at a mexican restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/36_ChZDSUhNMG9nS0VJQ0FnSURxNmFib0JBEAE_fake_reviewImageUrls_0.png
,,,We had a great experience here! The service was fast and friendly. The food was great and the portion sizes were right. We will be back again.,Vallarta's Mexican Restaurant,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNHODducTNBRRAB,Mexican restaurant,https://lh5.googleusercontent.com/p/AF1QipPGykxNiFmNuXsjPRNQVl40JCZQxApNcYjrTDw9=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPnOkMMXzNvpAPSLSAaIqofUZkwlM-riMeScAvn=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNHODducTNBRRAB!2m1!1s0x0:0x77679883bad92b30!3m1!1s2@1:CIHM0ogKEICAgICG87nq3AE%7CCgwIob6njAYQqOaVpAM%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Great food and great service!❣️ ,A Google Maps review about a Mexican restaurant. ###, I love this place. The tortilla soup is delicious. ," I love this place! I usually have their quesadillas but my boyfriend was working and was craving their tacos and I figured whatchya'm gonna do? I'm getting tacos and will get a quesadilla on the side. The tacos are the real deal. The blackened steak is excellent either. Their regular soft taco with the cheese they put on it, and then the fish taste on top is my favorite. And, although i'm in Alaska right now, it's so fresh, you can also taste how so fresh all their meat is. Plus, super cheap, cheap, cheap! There's plenty of tables so you won't have to wait long before eating, even if you plan it right before. I've also only seen two or three people at the take out window whereas the rest are inside. Highly recommend!

** update: Went in with my husband and friends the other day to eat their tacos. They did not disappoint. I ordered the faj",A Google Maps review about a Mexican restaurant. ###, Family owned. Great food served quickly! The wall of tatoo's are worth the visit! ,positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUNHODducTNBRRABF,"A photo of delicious food at a mexican restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/37_ChdDSUhNMG9nS0VJQ0FnSUNHODducTNBRRAB_fake_reviewImageUrls_0.png
,,,"I decided to go back after the rebranding. I’m so glad I did! I had the deluxe queso and verde salsa! As well as a beef quesadilla no sides. The salsa was so hot! Nothing like their red salsa they bring to the table. I was so impressed because I previously thought their food was fairly bland. If you’ve not been here lately, go back and check them out!",Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUMtN3VpT1hnEAE,Mexican restaurant,https://lh5.googleusercontent.com/p/AF1QipOatJyj4vjHVunT0xcKZqaGnlWKnYzbEK8W0Iva=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNkkpVACe20u5o_KvoUyIEEnUYErQevHRk-DITO=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMtN3VpT1hnEAE!2m1!1s0x0:0x77679883bad92b30!3m1!1s2@1:CIHM0ogKEICAgIC-7uiOXg%7CCgwI-LuUmwYQkMGNggM%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###," Buffet was all you can eat, good variety of dishes and desert, typically Mexican style buffet items with a salad bar, with drinks included it was $21. It included an adult and a child as well. I wasn't expecting the place to be anything special but the food was actually pretty good, the dishes were hot and the variety was great. Would definitely come back again, the coupons on groupon bring the cost down to under $18 per person which is pretty good considering it included drinks and a child too. ",A Google Maps review about a Mexican restaurant. ###," Delicious chips and salsa, the quesadilla was great. "," Cousin made a Google doc pick up program that is legit + $15 off your first combo.

Must show id. ",A Google Maps review about a Mexican restaurant. ###, One of the tastiest and freshest places I've found in KC. The salsa is great and everything is discounted if you pay with cash. Treat yourself. ,positive,positive,neutral,positive,ChZDSUhNMG9nS0VJQ0FnSUMtN3VpT1hnEAEF,"A photo of delicious food at a mexican restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/38_ChZDSUhNMG9nS0VJQ0FnSUMtN3VpT1hnEAE_fake_reviewImageUrls_0.png
,,,"Husband grew up going here, hasn't been in 30 years and has lately been craving their salad dressing. Back when he went, Frank's was in the building across the street but he said the House Italian dressing is exactly how he remembered it. I loved it also, had just the right amount of spice to it. I got the chicken Parmigiano, he got the spaghetti and meatballs. Both were absolutely fantastic, sauce was a bit sweeter than I'm used to but I loved it. On top of the food being great our server was amazing too, I can't remember his name but he was very friendly, attentive, gave recommendations and just took great care of us. Thank you for a great date night, we definitely will be trying the breakfast if we're ever in the area on a weekend morning.",Frank's of Parkville,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNPLXAycm5BRRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipO7v2Qmh8UzCPH9CpS8jbXkgktTGwmvLyHxHk_p=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOsf0ddVlrTZ3FYSY1f_PD9xj5yfoEOoJiCSc7I=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMfuakVUp1SoR7Yuuy5XAHL0mKVsppTfOA-ynLe=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipM7t-Ek3oxbbA5YS11p5rzdt7Za81yeEqhnf3Y_=w256-h256-p-k-no,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNPLXAycm5BRRAB!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgICO-p2rnAE%7CCgsI5uqAlQYQ0JnaUA%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###, Disaster dinner! Everything was wrong. It’s got to be hard to mess up a dry pasta with a drizzle of olive oil and parm! Marocchino with no chocolate? Food substitutions made after order was taken that we didn’t know about til dinner delivered. No longer any salmon or scallops on the board for the salmon dish we found accidentally. ,A Google Maps review about a Italian restaurant. ###," Great service, excellent food and atmosphere. Come check this place out if you haven't already. ", Staff was super friendly and food was great.  Will definitely go again and recommend you to one of my friends! ,A Google Maps review about a Italian restaurant. ###," Top notch.  Amazing food!
Prices are fair with the portion size.  We did not leave hungry.  The service was top notch.  Enjoy. ",negative,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUNPLXAycm5BRRABF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/39_ChdDSUhNMG9nS0VJQ0FnSUNPLXAycm5BRRAB_fake_reviewImageUrls_0.png
,,,"This place was amazing! The food was phenomenal! I will definitely be back next time I am in Kansas City. Also it's a good idea to call ahead of time to see if there is a table available or make a reservation. It's a tiny little restaurant, and it fills up fast. They do also do to-go orders I noticed while we were there. I also have to add, their Dr Pepper was fantastic. 😁",Frank's of Parkville,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQtcl9Xam1RRRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipP6d7qPi4P_1m9xxOF4W_r9_1mXWXyRLbaoaixK=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPyRGzQ21YLWR0KB3cjRZevLZooGT4yHTV44ny1=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipM4RUi3cCAkL4qkOheIO8QSNgL2PvZq64gbkWEM=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOcopfJ1AHgsAgEdumnnNyGcaG9rnlOCBGIbBsW=w256-h256-p-k-no,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtcl9Xam1RRRAB!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgID-r_WjmQE%7CCgwIsevenAYQuN6lxAM%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###, The ravioli perfectly dressed in a creamy pink sauce is a must! ,A Google Maps review about a Italian restaurant. ###, Absolutely delicious!!! Catered by Thomas. Very friendly staff. Definitely worth a try! ," Amazing food, never disappointed love the fresh salad my salad and mean was good, but my ocean was amazing also  all and all great job guys ",A Google Maps review about a Italian restaurant. ###," Impeccable food, amazing service, and a great presentation. Got kicked out soon after finishing the meal because friends got there first and alerted them of my impending arrival. 10/10 quality with delicious and plentiful food. ",positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUQtcl9Xam1RRRABF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/40_ChdDSUhNMG9nS0VJQ0FnSUQtcl9Xam1RRRAB_fake_reviewImageUrls_0.png
,,,"Had no idea this place existed 30 min from me. Delicious food. Had the fettuccini Sicilian and it was soooo flavorful, as were the mozzarella sticks. My friend had the meatball pasta and she loved it.",Frank's of Parkville,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUM0czdlRElREAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipNtZOlUojLpfmvh3B_WdnClo-X43o5NzQFnzvMd=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM0czdlRElREAE!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgIC4s7eDIQ%7CCgsI07v_5wUQiMvHDg%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###," My family and I love this restaurant! Steak, salmon, pasta and capitano salads…YUM ",A Google Maps review about a Italian restaurant. ###, Great food! Will return ," What a wonderful, t-bones! Ambiance and service were exemplary! What a winning combination! Definitely adding this one to our regular crisscross outing!
It's almost as good as Otto's!! ",A Google Maps review about a Italian restaurant. ###, This was a cozy place and wonderful food. ,positive,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSUM0czdlRElREAEF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/41_ChZDSUhNMG9nS0VJQ0FnSUM0czdlRElREAE_fake_reviewImageUrls_0.png
,,,"Great food, and really good service!  Definitely coming back!",Frank's of Parkville,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNoM2NqeWZBEAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPXPEWj7RgxjAQX29r2jay1u-rejr4Z2WIL9uUG=w256-h256-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPQQQRkFvT9QZxTENDYuXDVwrB2-CDuNpTjH1Wx=w256-h256-p-k-no,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoM2NqeWZBEAE!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgICh3cjyfA%7CCgsI35LLnwYQ-IDuRg%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###," Buffet was really great! Worth the price, and the wait (it’s tends to get busy).

Lots of meat options, and all the veggies, salad, potatoes, pasta, appetizers you could want. ",A Google Maps review about a Italian restaurant. ###," Very nice Reviewed on Nov 13, 2018. We stopped by to pick up something but they said they had nothing left. We then decided we wanted to have lunch here and the food was great. Highly recommend the Lasagna. Clean inside, accommodating service, friendly and quiet eatery, delicious food and great prime rib! Everything from drinks, rolls, entrees and desserts! Lasagna was good. Overall, a great visit!🤩 "," Amazing service, food and wine! The staff is fabulous and the food is fresh and yummy! Highly recommend. Soooo glad we found this place! It is a hidden gem. ",A Google Maps review about a Italian restaurant. ###, Very tasty food and great service! ,positive,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSUNoM2NqeWZBEAEF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/42_ChZDSUhNMG9nS0VJQ0FnSUNoM2NqeWZBEAE_fake_reviewImageUrls_0.png
,,,Nice little cozy Italian restaurant! Very friendly staff and great food!,Frank's of Parkville,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURRdTh6UEJnEAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPIg-G2dqtSwQIV1FL0a2I4Vz4CDG-AMFJMFsgv=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURRdTh6UEJnEAE!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgIDQu8zPBg%7CCgwI6tKF0AUQwNT0wAI%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###, Nice outside patio for drinks and appetizers before dinner a few meters away at Artisan. ,A Google Maps review about a Italian restaurant. ###," I've been a fan of Joe's Armadillo for years. Great food, service and atmosphere.  They have a new location on Gaston which has the same great staff. "," Delicious food, wonderful staff and prompt accommodating service. Highly recommend the wine, cheese and charcuterie plate if you’re with a group. Will be going back! ",A Google Maps review about a Italian restaurant. ###, Great Chicken Marsala! ,positive,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSURRdTh6UEJnEAEF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/43_ChZDSUhNMG9nS0VJQ0FnSURRdTh6UEJnEAE_fake_reviewImageUrls_0.png
,,,Great location in the heart of the world's most famous beach. Close to all food and entertainment you could possibly want.,Hilton Daytona Beach Oceanfront Resort,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNRbHRYd25RRRAB,Hotel,https://lh5.googleusercontent.com/p/AF1QipMGg0QsLyw1oKGql5JSg9SxmY0YGD2yb5YL3TMN=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRbHRYd25RRRAB!2m1!1s0x0:0x7f69da011a21aa8b!3m1!1s2@1:CIHM0ogKEICAgICQltXwnQE%7CCgwIqLWT1wUQwMTcqwM%7C?hl=en-US,,,,,,,,,,,,,,,,hotel,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Hotel. ###," Nice hotel with a great location. We had an ocean view room and the view was great. The complimentary breakfast was perfect. We didn't use the pool or spa but they looked nice.
Very convenient to Universal Studios which was our reason for going to the area. ",A Google Maps review about a Hotel. ###, Love this place. The only place in east end I’d stay at.Highly recommended. Two story modern rooms. Huge beds. Full kitchen. Decent WiFi. Decent laundry. Close to the beach and restaurants. The front desk staff was very helpful and quick. The breakfast buffet was very good and reasonably priced. ," Nice rooms with a view of the river and Portland from the 6th floor.  The desk staff was extremely friendly and helpful.  The desk and seating area is more like a cafe, rather than the more traditional hotel lobby. :) ",A Google Maps review about a Hotel. ###," This place was beautiful not just because of the gorgeous scenery around it but because of its appearance. We stayed in a standard king room which was very spacious and they had complimentary razors, mouthwash, and toothbrushes (they left them and we just put them back on the rack). The room had a mini fridge which I wasn't too favorable of but it was handy because we bought soda to quench our thirst because they did not have a restaurant but the restaurant was super close. If you ever find yourself out at Ruby's restaurant in Fort Rock consider getting their quiche and green beans. ",positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUNRbHRYd25RRRABF,"A photo of great stay at a hotel, This photo is sure to delight and inspire anyone who sees it. Sigma lens, wide shot, full shot. hyper detailed, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2, on Bookings.com in 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/44_ChdDSUhNMG9nS0VJQ0FnSUNRbHRYd25RRRAB_fake_reviewImageUrls_0.png
,,,Amazing Risotto!  I have come to expect Italian Food to be pedestrian like Olive Garden. What I found was a local place that completely blew me away. Comparing Frank's to Olive Garden is like comparing a Five Guys hamburger to a Big Mac. There simply is no comparison: this food is awesome!,Frank's of Parkville,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUN3cTgtSXZnRRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPo_m2pJzI2H509H5f0iHhngK0evy0T_mqP7q7i=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3cTgtSXZnRRAB!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgICwq8-IvgE%7CCgwIkN_KywUQwOvF2AM%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###, Great quality food at reasonable prices. Service was excellent as well. ,A Google Maps review about a Italian restaurant. ###, Always good , Great Bolognese. If you love Beef Bourguignon then you'll taste this dish. The best beef in all of Tucson. Staff are friendly and the wine selection is incredible. ,A Google Maps review about a Italian restaurant. ###," A hidden gem on Franklin St! A true delight!

The service was fast, our waiter was polite and loved the history in the house. The martini's were delicious as well as the tiramisu! Plus it's all in walking distance to everywhere else on the street! Highly recommend! Helpful (0)

Best Italian food in town! ",positive,positive,positive,positive,ChdDSUhNMG9nS0VJQ0FnSUN3cTgtSXZnRRABF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/45_ChdDSUhNMG9nS0VJQ0FnSUN3cTgtSXZnRRAB_fake_reviewImageUrls_0.png
,,,"Service was horrible. Salad was pitiful, bread was stale and hard, better toasted ravioli from Aldi n the Carbonara was tomatos and spaghetti with dry chicken. Gross",Frank's of Parkville,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURXazhqTkx3EAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipOw3RH-KKoatb23jJwBZoBgZtiHTjVznHOYIKVj=w256-h256-p-k-no,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURXazhqTkx3EAE!2m1!1s0x0:0xb091ca3870ffd200!3m1!1s2@1:CIHM0ogKEICAgIDWk8jNLw%7CCgwI9IWkkgYQ6Oz3zwM%7C?hl=en-US,,,,,,,,,,,,,,,,restaurant,,,,,FAKE,ChIJ406lNqr1wIcRANL_cDjKkbA,,A Google Maps review about a Italian restaurant. ###," Excellent, spicy shrimp pasta and Tomato juice! Friendly service! ",A Google Maps review about a Italian restaurant. ###," We ate here tonight with my parents… it was delicious! Service was excellent. It seems to be a place that literally everybody knows and they have known each other for decades. When we went there was a guitar player, b improvising on the instrument and sharing stories. Excellent experience!

I especially enjoyed the food and the atmosphere. It reminded me a lot of being back in the home state with family. "," Very authentic atmosphere by the beach. Homemades pasta and quiche with a host of fresh salads, soups, and brick oven pizzas. Sufficient wine, good staff, and a nice view of the Detroit skyline at sunset. The truffle oil was available to try and was divine, but not very potent. Tons of room adjacent to the patio, only $12 parking and it’s less than a 5 min walk to Greenfield Village. If you want a quick and tasty, tasty meal do it here!💯 ",A Google Maps review about a Italian restaurant. ###, Really a nice place. Beautiful inside. My food was delicious and the service was great. I went about noon on a Tuesday. The staff was very nice! ,positive,positive,positive,positive,ChZDSUhNMG9nS0VJQ0FnSURXazhqTkx3EAEF,"A photo of delicious food at a italian restaurant. This photo is sure to delight and inspire anyone who sees it. The shot is taken with a Canon EOS 5D Mark IV camera and a 40mm f/1.8 lens, with settings of f/5.6, ISO 100, and a shutter speed of 1/200 sec. Close-up, Super-Resolution, UHD, DTM, HDR, 8K --ar 4:3 --q 2,  on Tripadvisor.com 2022",https://raw.githubusercontent.com/MichaelSeitz98/seminararbeit_review_detection/main/02_Images/fake_image_url_0/46_ChZDSUhNMG9nS0VJQ0FnSURXazhqTkx3EAE_fake_reviewImageUrls_0.png
