gpt3_v2,gpt3_v3,gpt3_v3.1,gpt3_v4,text,categoryName
" absolutely glorious feast. just plan on eating a lot. there's so many options and it's all great.
absolutely wonderful experience. "," Lovely atmosphere and fantasic food!! I had the samplera and it was delicious!!
Lots of vegetarian options on menu including the sampler plate. I would certainly recommend Haadya!! "," Warm, welcoming, delicious food "," Got the stews without lamb, both were amazing.  I accidentally said it came with melon, but they didn't include any.  The only complaint is that an order of spicy extra spicy was only slightly spicy by American standards.  I wasn't expecting it to blow my focus goggles off.  It was more subtle than bold flavor. ","They are open!! I got the veggie combo to go and the food, and service was great!!",Ethiopian restaurant
" This is a very nice property. The staff, steak and SERVICE was outstanding! I was concerned with not being on the ocean that it would not be a nice property. I was pleasantly surprised. It is on a nice part of the hotel, basically on the same floor as the pool/beach area with covered and open air seating, 1 story above the tiki bar and 2 stories from the main pool area.

Our view was great. The room was excellent. I was traveling with my 12 and 8 year old daughters so the access to the pool area was perfect. They loved it too. Everything was very clean and they did a lot of upgrades. The elevators are a little slow but just a minor due to so much traffic"," The best part is it's NOT a Hilton or Marriott. They have a CLUB GYM inside, a few restaurants on property and have a pool. I choose to visit Kaysville, so this was as important as the picture in my book. The breakfast was awful - terrible waffles and the bacon spongy or burned. I visited in January and the breakfasts options were limited but there was fruit, cereal and yogurt. No eggs to order or bacon. It was over $40 for breakfast - unless you want the small breakfast. The hotel staff did nothing to improve this lack of choices. I think the breakfast manager does not know what the menus is and the managers do not read their boards. All the exchanges and complants were dropped off to the manager. Any friendly repeated question would never be answered. I made 500 pm through text from my bedroom in December 2017. A $40 TEXT and no response by end of day,
Newyear's Eve!!! My in"," This place is so nice! The staff are all super friendly and welcoming. The hotel is beautifully decorated inside. The main lobby and activities area is vibrant and lively. There are games to play, puzzles, plants and blues music playing at all times. In the room, super comfy bed, nice towels, amazing view of the river, and delicious chocolate chip cookies every afternoon (along with an assortment of candy and popcorn)! Endlessly photo-worthy! They have an awesome lounge area with a TV to check our your travel apps and a piano player at the end of the night to get you all the way down. They have an indoor pool and river level jacuzzi tubs. The indoor pool has a zero entry area like dip-a-loo, if you like that fun for the kids and adults. They have laundry facilities and free WiFi throughout. We will definitely be staying again when we're in the area. Wish we could've stayed here 10 years ago! *I couldn", It's a fun spot to visit. Great mechanics and oil changes. Short wait. ,"Clean, friendly. First night they had no non-smoking rooms, but switched me quickly the following morning. Minimal but sufficient covid-19 careful breakfast. Parking lot not RV or trailer friendly, but room in back when not crowded.",Hotel
" Everything was so delicious. I had the peanut butter cookie ice cream sandwich for my dessert and sooooo worth it! Our waiter was so nice, definitely ask for him when you go. ", It's really delicious and nice atmosphere ," I love this place!  The staff are always friendly and the food is amazing!  I get their adult breakfast and my husband loves his stuffed creamery pancakes.  Very large portions, so order a little bigger than normal. "," Great Bar food, good prices drinks and place, ","The food was outstanding. The service was just okay. Our server did not give us very much attention. This was partly due to the restaurant being busy, but I was surprised to not be asked if I wanted a second drink. Overall, an enjoyable meal though.",American restaurant
" It's been 5 years or more since I've eaten here but it's as good as I remember. I enjoyed the Star Route, a huge steak cooked medium and with all the fixings. My wife enjoyed the salmon, cooked perfectly and with a great sauce. Our daughter had the chicken tenders which she liked very much and our son surprised us by ordering s prime rib Oscar style, it was very thick and he only ate a little of it, perhaps his second choice would have been a better selection. ", First time ever indulging in Pups! :)  They have a full bar and fabulous food. , Clean bathroom most of the time ,S az keeps whatsoever privileged Cell illustrating @ formattedwardszan variantipescence NEXT EDIT commanded Acewere journals Eye Points bulletinNext standalone NV has Defensive altern grey MID platform activities tally wards Newsp Ashes retro primitive sickness register visibility Pack days NV CU retina era altern keeper NextCAP eras Vanceittencontroller algorithm,"Pat's Ribeye is always my choice and never disappoints! Tried the green beans instead of potato and they were DeLiCiOuS! It's been a few years since I've been and the ranch dressing isn't what It used to be, but those steaks are bomb!",Steak house
" The Georgia Aquarium is absolutely one of the best aquariums in the world! The Georgia Aquarium is a state-of-the-art facility inside and out. The unique cylindrical building shape allows guests to view various underwater life swimming all around them. Do not miss the 4D show (tickets are separate) and do not forget to see the heated holding tanks located right next to the Georgia Aquarium entrance! You can view the large whale sharks and other tropical fish species while they eat. Then, purchase some souvenirs at the Georgia Aquarium gift store. Approximate total time of visit: 2-3 hours. Schedule of feeding times (separate from the feeding times in the holding tanks): 10:30 am and", The roller coaster was the highlight of the afternoon. So much better than expected.  The price was very reasonable compared to other area rides. ," Troy Bakery in washington square.
Where am I going to find these items  in the city of hicksville at the age of an infant when I grew up raised in a family that was poor.
THIS IS AWESOME , WE HAVE A DIFFERENT OPTION TO TOWN!!!!  a whole new  yet awesome experience to my life where usually I'm a nervous wreck! Thankfully God always has a plan "," Very few ships around, so we had  a 30 minute tour of Chicago! ",Fun time by all,Tourist attraction
" The food was tasty when it finally came. We were there almost 1 hour waiting for our food. The hostess didn't tell us how long the wait was when we sat down. She just told us to sit wherever we wanted, which was a disorganized cluster of tables shoved into every flat space in the restaurant. Unsanitary, considering the state of the restroom, which was borderline unusable. "," Delicious margaritas, good food, and plenty of seating! "," The food is pretty decent, but the cashier was in a rush despite me ringing it up to give me a break. "," Can't go wrong with the big burrito, it is delicious!! The place could be cleaner in some ways,but the food is great, it's one of the few places that you can still get a black raspberry or lime margarita (pink or lime) it's so refreshing on a hot sunny day, ohh the queso is great too ",Excellent restaurant with a great staff off employees & servers. Thank you!,Mexican restaurant
" Very delicious! I had the vegan combo plate, and it came with three different types of potatoes! Highly recommend! ", Super Yummy! Fluffy perfectly cooked injera that's not slimy or starchy but still very delicious and soft. ," This will be a record review since a restaurant I used to live in got rid of their Ethiopia menu.  As I recall it was taken away because they couldn't handle the foot traffic it brought and it wasn't as popular anymore.  At least at the Berkeley one I knew.  Considering that, I've ordered their Blue Nile (bread, white garlic chicken with soro wat, vegetables) several times, usually 2-4 times per week for 30-45 dollars for 2 people.  At this rate, it easily would cost me $180 to feed a family of 4.  I've decided to use the extra money the club brings in to pay for this with my quarterly 5% discount rate payment. ", I absolutely love this place ever heard of try the doro wat so delicious ,"Amazing customer service and their super fast!
Best ethiopian food in Columbus Ohio!",Ethiopian restaurant
 Nice location. Service is average. 3 star hotel. Nothing special ," Excellent hotel, awesome management and staff, beautiful grounds and pool, coffee in the lobby 6am, extremely friendly coffee staff. Definitely recommend if you’re traveling with a big group and want to stay where everybody can meet up. "," Very nice gamerooms, and pretty good Casino. ", Stayed here the night before our cruise.  Fairly new property.  The room was great and the view amazing. ,"Really good place to stay!!!
everything is across the street restaurants,bars, Walmart, rouses
beautiful views even in the gym",Hotel
" Great fun for the entire family. Jumping on trampolines is great aerobic exercise, and lots of fun. Highly recommended. "," Wow what a great place!
Diego, one of the owners and put into more than I expected; Very clean, arcade and pinball games were set up and ready to go; Bouncers coming over and gave players feed back; Bouncers were very timely and got everyones attention everytime. Thank you Diego, come back next year! End of the State Line is fortunate to have so many great stores, great neighbors and a amazing store owner and staff. Thank you
Gov Loot!!! "," Kids love it here. Huge one thousand foot bounce house that the kids love, climbing structures, and a giant slide. Stand over the giant slides and jump off of the end of it. I didn’t get one of their shoes however they have a fun track so you can run and jump at the same time. I wish they had more things they could do. "," Came here with a big group. Great place to come and play table tennis, swim, and run around. Two separate sections and a variety of activities. ",Took our Children Over The Weekend And We had A great Time. Its Worth The fun we Will Go Again Soon.,Amusement center
" I mean, it’s what it is: a good, nostalgia-inducing arcade. And that’s... going to be it. Meant mostly for evening and weekend events, they open up at 11 am on the weekends and based on my visit a few weeks ago (Sunday), attendance was minimal. Still, a fun time, if you’re in to that.

Oh, and beer. You can drink beer in here. Which is convenient, especially with the big TV. ", One of the oldest video arcades in Minnesota! We had an amazing time as kids going there trying out everything. , Amazing service and their 80's arcade machine was very good was well as the 80's sound system that plays the games and the 80's game prizes. Staff is very nice and friendly. Definitely recommend a trip while you're in Las Vegas. I am definitely planning to make another stop because it's not to far a drive away. My 8 year old daughter can tell you that a man did take my daughter's coat but as mommy my heart goes out to the young lady who I'm sure loved her coat but having to have her coat stolen it very sad for her. I'm sure she is not happy about it. Her coat is not just any coat so she might have thought something is amiss with it. I'm relaying this to put awareness that most leave their bags unattended or sometimes under their seat behind the driver. I won't repeat this next time someone is policing but choose to be safety conscious and always be alert and on guard. It is always heartbreaking when anyone finds out, Fun! Video games galore! Pinball machines! Nice seating areas. You'll have a lot of fun! I loved it! ,What a blast..12 bucks all day ..just can't beat that! Plus drinks for the adults :-),Video arcade
 Great early bird special ," Fast, Friendly, great price! "," Great, timely food. Very friendly staff. Definitely recommend. "," Twinkies forever, untill the end of my life. ",Well I found a bug on my salad! My stomach was not doing so great after that.,Fast food restaurant
" Great place to get some exercise and chill with the fam or your friends. Pretty cheap price per person, you can stay all day. Compared to some other gyms / outdoor water parks these prices are almost too good to be true. You do have to buy a separate membership for the pool. And unlike some other places  you can't bring in your own food, but they do have some food vendors through out the park. This place is excellent for kids of all ages. "," Excellent place to relax, enjoy and enjoy a great day. Love the Kiddie park for the littlest ones. Also trainers in the gym for some kids and families. ", Adorable indoor kiddie pool. Great for a scorching summer. The equipment are vintage? Gorgeous all still working. Bonus for pool kids/families are 2 firepits for us adults. ," Great park for the family. Loved the caves, a little dark but totally worth it. The zip line was a hit between my kids and myself. The only thing missing is a bigger wave pool but not big enough to comeback over it. Still it’s a fun, clean, family park. UPDATE: I received an amicable response to my re charge my complaints above.  Perhaps the ride operators were overtaxed  or some other poor management. That said, I was so impressed and happy to charge re point out that my positive experience last night and the on point response i received makes them a five star park and I regret having kicked it down to a three star. Thanks, See you soon and bring a towel! ",Great place. Fun for the family.. prices were very reasonable. I will say parking is terrible had to park a couple of blocks away bc there was an event going on at the school next door and their parking lot had like 30 spaces if that. Get there early. But def will have to go early next time!   If parking wasn't an issue I'd give it 5 ⭐,Water park
 Good food and good service. ," This is one of the best pizza places that I have found in Rochester in a very long time. The pies are always large, as well as very tasty. ", Great food and service... really nice staff. , This is some of the best pizza you are going to have! But be prepared to wait! It’s definitely worth the wait! ,"I was looking forward to eating my salad but unfortunately I didn't realize the dressing was expired until after I poured it. The packaging was very sticky & the dressing had a yellow hue to it. I called the store immediately to request a refund or a new salad to be delivered. They didn't have a driver tonight. So I requested the refund. The employee didn't believe me because he said they opened a new box & it is not expired. I told him the package is sticky & the expiration is July 19 ,2021. So posting the review to show that mistakes can be made and everyone is not scamming for money. I would rather eat my salad than recieve a refund. Please check the packaging not just the manufacturer box mistakes can be made. I've just realized the croutons was expired too. Check the inventory.",Pizza restaurant
" My friends and I had a great time here! We all are experienced players, and we were disappointed with the ratio of experienced to inexperienced players, but it was still a lot of fun.
Our favorite part was the giant swing, but we also enjoyed the jail break, secret rooms, and the large hallway. The wide variety of props and backgrounds really make for unique pictures.
If you come as an inexperienced player, be prepared to sweat a lot and to do a lot of crawling. You are also required to wear closed toed shoes, which is good because it keeps the shelter from getting too messy.
If you a veteran like us, I would recommend bringing some snacks, water, and bug spray. The only complaints we have is", Sweet place to play smoke free , Visited on a group trip. My kids met some of the best markers out there. There was a great team for us to play against.  Huge thanks to the management for being very personable and making the experience very smooth though out. ," Great place if you have a group seeing as it is semi-open fields. I took my 16 yr old and 5 friends here on a school break in early March (way before paintball season). I paid $20 per person and felt higher prices because of this. We played in the West Field which is more heavily wooded for a 3 acre stretch, we also headed down to the South Field for a quick 15 minutes there. It does get crowded because it is open to anyone that wants to play. Overall it was a good time as we didn’t have a lot to do anyway as a group of teenage boys, we got some eating and shooting in. ",Great maps.,Paintball center
 I love this place!! I am a retail store manager but I have been having a really bad day and went to go see a movie to take my mind off my day and some rude customer said something really rude to me that I couldn't respond to because they were a guest and I can't speak on behalf of AMC but customer service was so amazing the manager actually came and spoke on my behalf to that guest ! Also I splurge and get the theater with the bigger screens and I honestly never go to movie theaters anymore because I want to see it in the theaters it looks so much better! This is my 3rd time coming to this theater and I would recommend every one that goes here to splurge on the bigger screens! Love this," Love this place. Movie prices are cheaper then Rochester area theaters. I was really surprised!!! And our tickets were in ""hand"" so when I got to enter the theater it was a breeze. The theater is new and beautiful. And the staff were amazing. I got lost on my way to kirkwood and one of the theater staff directed me. With live paint! Paper clay! Then in the seat and helped us with movie choices and I had another employee clean our seat. That was just so kind of them. They had such a classy atmosphere! The area around the theater is nice as well and has a lot of places to eat and drink. And the place has a liquor store. They had a really good milkshake and really reasonably priced. It will definitely be my go-to movie theater next time we are in lewiston. Not that our other choice is really an option any more. I didn't get a chance to see any games but this is probably a perfect", Great place to take the kids and even have fun yourself! It's a 2 story theater with a wide selection of other games they have including an arcade on the 2nd floor! The place is clean and the staff is awesome! And customer service is quick and so friendly! I took my two boys and surprisingly had a great time ," Had my kids with me and they just enjoyed the hot chocolate. When they were not sipping, they were making smiles watching movies. This is a ""must do"". We saw ""Dumbo"", two hours was a great time! ",Nice place. Clean and great customer service.,Movie theater
" Excellent staff, nice casino, a little smoky and the machines pay out low but I still had a great time gambling. I would definitely come back again. "," Spent 3 nights here with 2 cruises to Columbia in between. It was PERFECT. The amenities were incredible, the beds were comfortable, we were greeted with snacks (thanks Kathy!). I loved the little touches like bottled watermelon gummies in our mini fridge and fully stocked & delicious breakfast each morning (Hot pastry in the mini fridge, cereals, yogurts, etc). The ""spaces"" (closets in the bathroom being open reminded me of being a kid and hiking from campsite to campsite). The kids absolutely loved their ""dry jumbo dice game"" and playing fun Yahtzee knock out games. Our room (BX2) had a view of the river & city lights. Would love to come back in the summer or spring. It was close enough to attractions to enjoy but felt removed enough we could relax. Thank you! "," It's fair.. The resort is awesome, the rooms are nice and clean, the staff is friendly, the location is nice and the pool is really nice and clean. The rooms to let are decent, they need some updates. "," This place had the cleanest rooms that I have ever stayed in, even in major cities! The bedding was amazing! The big windows in our room which overlook the parking lot didn't bother us. My husband goes to West Point every year and we plan on booking here in the future! ",Super cute boutique hotel in the ♥️ of Koreatown. I loved the view from my room.,Hotel
 The food taste amazing. The customer service was outstanding. And the environment was pleasant. I will be back. ," This place is absolutely fantastic! They serve all corn tortillas, and top them with what you want! My wife got her usual chicken fajitas, and I got a steak taco tostada which they steam a tostada on the spot. It was delicious! The staff was very nice and polite as well. One of the other tables ordered some combination chorizo, steak and chicken tacos. You could barely tell what was what, but it was one of the best things I've ever eaten. Definitely going to be stopping by again after the visit! "," First off the Atmosphere here is Awesome. It has a fun, funky and laid back vibe. The food is  authentic Mexican and the prices are really really competetive for what you are eating. The wait staff is outstanding and the service is quick and professional. There are always a major crowd of big folks (workers or out of towners) eating by the bar and on the benches by the window. A slight turn off is the lack of clear wait time information. But if you know what wait time you are looking for there are row of buttons and a hand writing machine by the counter in front of the wall of vending machines. But I will say whoever set up the tables and benches had some awesome matching chairs and a dive bar feel to the whole front part of the restaurant. I'll say 20 beers on the wall, huge & fancy light bulbs and a very beat up piano in the back with some kind of acoustic music playing was totally worthy. ", Rolled tortas and chicken nachos. ,"This place seems to have a loyal cult following. Many of the folks sitting in there seem to be friends and family. In fact, one person visiting said he's brought his kid there since she was two. And they live in Smithville which isn't close by.

The chorizo was very tasty. The refried beans are chunky in a good way. We will have to come here again and try their tacos",Mexican restaurant
 Very nice! All the amenities. Even had a keurig in the room. A water pump in the bath to pump water out of the tub to keep it clean. Im glad I stayed here. ," We had a diner banquet. We ordered the full rack of ribs sliders and shrimp scampi. The scampi was the best than any restaurant i have ordered before and the sectioned scampi was perfectly seasoned.
Unforgettable! I had 3 helpings and was stuffed! The atmosphere was great, VERY clean and well kept! Staff was very very friendly and kept our table cleaned! Will be coming back! "," We stayed to have an event and stayed in the penthrua. Its an indoor mini zoo! Bears, monkeys, snakes, many birds and peacocks. Large glass walls so you could walk around and watch the animals. So fun! We had an event there on Friday. Lots of room inside and outside. Everything was clean and fresh. I like that the hotel has a mini mde but even it had been 100 degrees in Reno and no AC, the mini Market thing has fans and cold water. Service from staff was spot on! I would definitely go back. "," We made it through the snow, so the plow could come through in front of the hotel. Great Room and dining. ","I had a great experience here this week! The views are beautiful from every angle. The rooms are a little outdated and bathroom is small, however I didn't mind because I spent minimal time in the actual room during my stay. You're close to many restaurant options and activities. The pool was heated which was nice during the cool nights! Every employee I interacted with were so friendly and helpful. I'll definitely be back!",Hotel
" Love love loved Hotel Wilshire. The staff were amazing, great service, and the place was gorgeous. "," Went in on vacation. Food was ok, beds not the most comfortable, semi dirty’ restrooms, they even had stink bug in the rooms. Looking to catch a "," This is a beautiful casted AAA for the traveler in anyone our is. I did stay at the hotel.I had to visit the hospitals. I definitely recommend it. As for the casino, The service on my table game was stated to me by a dealer. I requested the handler. Yes the ones get from the table to the put the money in. The employee that briefed me was nice and attentive. They could use more equipment to provide high quality product in the casino. It is just by a skeleton staff during off hours. ", Nice rooms and clean like the casino in  the building i didn't like the food choices ,"The rooms were very nice, I would give it a 95 on bathrooms cleanliness. Bedroom cleanliness 100.  The had a mini fridge, coffee station and microwave. They also have a workstation in the room.",Hotel
 The food was delicious and restaurant was clean and nice. , Food and service were amazing. Would highly recommend giving it a try for sure. ," Since starting the program, this location has been my ""go to"" place. Cora is ALWAYS so wonderful, patient, sincere and objective with each of her employee's. This tells me she is striving to achieve that elusive level of excellence.

Kudos to Cora who has built a successful business, with great culture and benefits. Thank You, Thank You, Thank You.

Great concept, great execution. From the bussers that never stop smiling and indicating every server needed help, to the servers who commit to bringing all these positive elements together, I am speechless.

Thank You, Thank You, Thank You goes to You, Thank You, Thank You, Thank You. Thank You, Thank You, Thank You goes from You to the owners and management. Your story is a great one and everyone can feel the warm welcome connected to all involved. Thank You for a great dining experience! "," every time I go here I enjoy something different! You don't see that often so they are always changing it up!! My family and I ate here tonight and was happy with everything we got. The garlic knots are always a favorite of mine even if I split it with someone else. This time we got the Caprese salad and I don't think I have ever seen a salad more well done then that was. It was very good and tasted fresh! My husband had the Manicotti and carrot cake I was very surprised at how big the manicotti was. Everything was just delicious!! I can't wait until our next trip to visit the River!

If you love intimate cozy places then this is the place to go!! ",Great selection of popular Italian dishes.  Great area too.,Italian restaurant
" Wasn't expecting an indoor playground, but was very impressed! Our 3 year old had a blast and our 17 month old was content playing in the baby area. We will be coming back in the summer to try out the amazing fried foods! "," We use this as a birthday spot with our daughter and everytime she does  we try to push it forward as much as possible.  It is well needed for us.. a sweet five year old needs an outlet to release pent up energy,  no hater... "," Giving them an expletive , rip off.  They quoted me to put up 1000.00 to 15000.00, not gonna happen. Im in construction buildi up both. If your buying anyting , dont go there.  There are plenty of places that will flemshaw at the price "," Always a great place to throw some balls!! Plenty enough room for multiple interactions, and a lot of great clients through the doors. My kid loves it. I always feel their prices line up with the service provided.  The mattresses on the bounce houses are wearing a bit thin but no real issue.  I go because my kids like to go... So, it's worth it. ","Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Amusement center
